Row Type,Action,Campaign status,Campaign,Currency code,Budget,Budget type,Status,Campaign type,Campaign ID
Campaign,Edit,Enabled,Campaign Tiga #2,IDR,40000,Daily,Eligible,Search,18821186839
Campaign,Edit,Enabled,Campaign Tiga,IDR,40000,Daily,Eligible,Search,18332232671
Campaign,Edit,Enabled,Campaign Tiga #3,IDR,40000,Daily,Eligible,Search,18823736600
Campaign,Edit,Enabled,Campaign Tiga #4,IDR,40000,Daily,Eligible,Search,18816721875
